Time: Clubes, Código: 
Time: Independiente Rivadavia, Código: 8a9d5afa
Time: Defensa y Just, Código: a4570206
Time: Instituto, Código: e2f19203
Time: Tigre, Código: 0e92bf17
Time: Atlé Tucumán, Código: 42a1ab8b
Time: Boca Juniors, Código: 795ca75e
Time: Huracán, Código: 1d3d37ae
Time: Sarmiento, Código: e9ae80b7
Time: San Martín de San Juan, Código: d7a2603d
Time: Unión, Código: 5adc7e67
Time: Barracas Central, Código: 1d89634b
Time: Godoy Cruz, Código: ac9a09b4
Time: Belgrano, Código: 7765008b
Time: Talleres, Código: ceda2145
Time: Lanús, Código: 11b6dba8
Time: Newell's OB, Código: 9bf4eaf4
Time: Vélez Sarsfield, Código: 41c139b6
Time: Gimnasia–LP, Código: 950a95f2
Time: Aldosivi, Código: e5927bd8
Time: vs Aldosivi, Código: e5927bd8
Time: vs Arg Juniors, Código: d01a653b
Time: vs Atlé Tucumán, Código: 42a1ab8b
Time: vs Banfield, Código: 06c1606c
Time: vs Barracas Central, Código: 1d89634b
Time: vs Belgrano, Código: 7765008b
Time: vs Boca Juniors, Código: 795ca75e
Time: vs Cen. Córdoba–SdE, Código: 9aa97c75
Time: vs Defensa y Just, Código: a4570206
Time: vs Deportivo Riestra, Código: b3d222b1
Time: vs Estudiantes, Código: df734df9
Time: vs Gimnasia–LP, Código: 950a95f2
Time: vs Godoy Cruz, Código: ac9a09b4
Time: vs Huracán, Código: 1d3d37ae
Time: vs Independiente, Código: 40bb0ce9
Time: vs Independiente Rivadavia, Código: 8a9d5afa
Time: vs Instituto, Código: e2f19203
Time: vs Lanús, Código: 11b6dba8
Time: vs Newell's OB, Código: 9bf4eaf4
Time: vs Platense, Código: 3cbfa767
Time: vs Racing Club, Código: 8e20e13d
Time: vs River Plate, Código: ef99c78c
Time: vs Rosario Central, Código: 87a920fa
Time: vs San Lorenzo, Código: 66da6009
Time: vs San Martín de San Juan, Código: d7a2603d
Time: vs Sarmiento, Código: e9ae80b7
Time: vs Talleres, Código: ceda2145
Time: vs Tigre, Código: 0e92bf17
Time: vs Unión, Código: 5adc7e67
Time: vs Vélez Sarsfield, Código: 41c139b6
